,instrument_key,name
0,NSE_INDEX|India VIX,India VIX
372,NSE_EQ|INE817H01014,BURNPUR CEMENT LTD.
373,NSE_EQ|INE295F01017,BTRFLY GANDHI APPL LTD
374,NSE_EQ|INE139I01011,BARAK VALLEY CEM. LTD.
375,NSE_EQ|INE319B01014,THE BYKE HOSPITALITY LTD
376,NSE_EQ|INE090Y01013,CADSYS (INDIA) LIMITED
377,NSE_EQ|INE526B01014,CALIFORNIA SOFTWARE CO LT
378,NSE_EQ|INE052I01032,CAMLIN FINE SCIENCES LTD
379,NSE_EQ|INE278Y01022,CAMPUS ACTIVEWEAR LIMITED
380,NSE_EQ|INE596I01012,COMPUTER AGE MNGT SER LTD
381,NSE_EQ|INE0QG301017,CANARYS AUTOMATIONS LTD
382,NSE_EQ|INE476A01022,CANARA BANK
383,NSE_EQ|INE477A01020,CAN FIN HOMES LTD
384,NSE_EQ|INE068L01024,CANTABIL RETAIL LTD
385,NSE_EQ|INE264T01014,CAPACITE INFRAPROJECT LTD
386,NSE_EQ|INE646H01017,CAPITAL SMALL FIN BANK L
387,NSE_EQ|INE475E01026,CAPLIN POINT LAB LTD.
388,NSE_EQ|INE707C01018,CAPITAL TRUST LIMITED
389,NSE_EQ|INE120A01034,CARBORUNDUM UNIVERSAL LTD
390,NSE_EQ|INE521J01018,CAREER POINT LIMITED
391,NSE_EQ|INE752H01013,CARE RATINGS LIMITED
392,NSE_EQ|INE290S01011,CARTRADE TECH LIMITED
393,NSE_EQ|INE482D01024,CARYSIL LIMITED
394,NSE_EQ|INE172A01027,CASTROL INDIA LIMITED
395,NSE_EQ|INE518X01015,NET AVENUE TECHNOLOGIES L
396,NSE_EQ|INE652F01027,COUNTRY CLUB HOSP HOL LTD
397,NSE_EQ|INE421D01022,CCL PRODUCTS (I) LTD
398,NSE_EQ|INE736A01011,CENTRAL DEPO SER (I) LTD
399,NSE_EQ|INE482A01020,CEAT LIMITED
400,NSE_EQ|INE185H01016,CELEBRITY FASHIONS LTD
401,NSE_EQ|INE0OMO01017,CELLECOR GADGETS LIMITED
402,NSE_EQ|INE0LMW01024,CELLO WORLD LIMITED
403,NSE_EQ|INE0O0001013,CELL POINT (INDIA) LTD
404,NSE_EQ|INE485A01015,CENTURY ENKA LTD
405,NSE_EQ|INE281A01026,CENTURY EXTRUSIONS LTD
406,NSE_EQ|INE483A01010,CENTRAL BANK OF INDIA
